Marcelin-Berthelot (place);75005
Marché-aux-Chevaux (impasse du);75005
Marché-des-Patriarches (rue du);75005
Maubert (impasse);75005
Maubert (place);75005
Maurel (passage);75005
Maurice-Audin (place);75005
de Mirbel (rue);75005
Mohammed-V (place);75005
Monge (place);75005
Monge (rue);75005
Montagne-Sainte-Geneviève (rue de la);75005
Montebello (port de);75005
Montebello (quai de);75005
Mouffetard (rue);75005
Mutualité (square de la);75005
Navarre (rue de);75005
Nicolas-Houël (rue);75005
Observatoire (avenue de l')    ;75005
Ortolan (rue);75005
Paillet (rue);75005
Panthéon (place du);75005
Parcheminerie (rue de la);75005
Pascal (rue)    ;75005
Patriarches (passage des);75005
Patriarches (rue des);75005
Paul-Langevin (square);75005
Paul-Painlevé (place);75005
Père-Teilhard-de-Chardin (rue du);75005
Pestalozzi (rue);75005
Petit-Moine (rue du);75005
Petit-Pont (place du);75005
Petit-Pont (rue du);75005
Pierre-Brossolette (rue);75005
Pierre-et-Marie-Curie (rue);75005
Pierre-Lampué (place);75005
Pierre-Nicole (rue);75005
Poissy (rue de);75005
Poliveau (rue);75005
Pontoise (rue de);75005
Port-Royal (boulevard de)    ;75005
Postes (passage des);75005
Pot-de-Fer (rue du);75005
Prêtres-Saint-Séverin (rue des);75005
Puits-de-l'Ermite (place du);75005
Puits-de-l'Ermite (rue du);75005
Quatrefages (rue de);75005
Rataud (rue);75005
René-Capitant (promenade);75005
René-Viviani-Montebello (square);75005
Rollin (rue);75005
Royer-Collard (impasse);75005
Royer-Collard (rue);75005
Saint-Bernard (port);75005
Saint-Bernard (quai);75005
Saint-Etienne-du-Mont (rue);75005
Saint-Germain (boulevard)    ;75005
Saint-Jacques (rue);75005
Saint-Julien-le-Pauvre (rue);75005
Saint-Marcel (boulevard)    ;75005
Saint-Médard (rue);75005
Saint-Michel (boulevard)    ;75005
Saint-Michel (place)    ;75005
Saint-Michel (quai);75005
Saint-Séverin (rue);75005
Saint-Victor (rue);75005
Sainte-Geneviève (place);75005
Salembrière (impasse);75005
Santeuil (rue);75005
Scipion (rue);75005
du Sommerard (rue);75005
Sorbonne (passage de la);75005
Sorbonne (place de la);75005
Sorbonne (rue de la);75005
Soufflot (rue);75005
de Sully (ponts) ;75005
Thénard (rue);75005
Théodore-Monod (square);75005
Thouin (rue);75005
Toullier (rue);75005
Tournefort (rue);75005
Tournelle (port de la);75005
Tournelle (quai de la);75005
Trois-Portes (rue des);75005
Ulm (rue d');75005
Ursulines (rue des);75005
Val-de-Grâce (rue du);75005
Valence (rue de);75005
Valette (rue);75005
Valhubert (place)    ;75005
Vauquelin (rue);75005
Vésale (rue);75005
Victor-Cousin (rue);75005
Vermenouze (square);75005
Xavier-Privas (rue);75005
18-Juin-1940 (place du);75006
Abbaye (rue de l');75006
Abbé-Grégoire (rue de l');75006
Acadie (place d');75006
Ancienne-Comédie (rue de l');75006
André-Honnorat (place);75006
André-Mazet (rue);75006
Antoine-Dubois (rue);75006
Assas (rue d');75006
Auguste-Comte (rue);75006
Beaux-Arts (rue des);75006
Bérite (rue de);75006
Bernard-Palissy (rue);75006
Blaise-Desgoffe (rue);75006
Bonaparte (rue);75006
Bourbon-le-Château (rue de);75006
Bréa (rue);75006
Buci (rue de);75006
Camille-Jullian (place);75006
Canettes (rue des);75006
Canivet (rue du);75006
Cardinale (rue);75006
Casimir-Delavigne (rue);75006
Cassette (rue);75006
Chartreux (rue des);75006
Cherche-Midi (rue du)    ;75006
Chevreuse (rue de);75006
Christine (rue);75006
Cicé (rue de);75006
Ciseaux (rue des);75006
Clément (rue);75006
Coëtlogon (rue);75006
Commerce-Saint-André (cour);75006
de Condé (rue);75006
de Conti (quai);75006
