Claude;Abbes
Eliaquim;Mangala
Hervé;Marc
Jean-Jacques;Marcel
Marcel;Marchal
Roger;Marche
Yves;Mariot
Steve;Marlet
Marvin;Martin
Bruno;Martini
Corentin;Martins
André;Maschinot
Serge;Masnaghetti
Fernand;Massip
Paul;Mathaux
Jules;Mathé
Jérémy;Mathieu
Maurice;Mathieu
Étienne;Mattler
Blaise;Matuidi
Florian;Maurice
Rio Antonio;Mavuba
Francis;Méano
Rachid;Mekloufi
Bernard;Mendy
Jérémy;Ménez
Maurice;Mercery
Alain;Merchadier
Albert;Mercier
D.;Mercier
François;Mercier
Robert;Mercier
Émilien;Méresse
Camel;Meriem
Louis;Mesnier
Maurice;Meunier
Georges;Meuris
Philippe;Mexès
Maurice;Meyer
Francis;Meynieu
Michel;Mézy
Carmelo;Micciche
Henri;Michel
Pierre;Michelin
Johan;Micoud
Ahmed;Mihoubi
Roger;Mindonnet
Louis;Mistral
Roland;Mitoraj
Henri;Moigneu
Alain;Moizan
Marc;Molitor
Jules;Monsallier
Charles;Montagne
Alexis;Mony
Pierre;Mony
Georges;Moreel
Daniel;Moreira
Pol;Morel
Georges;Moulène
Henri;Mouton
Lucien;Muller
Yann;M'Vila
Bruno;N'Gotty
Samir;Nasri
Frédéric;Née
Eugène;Nicolaï
Jean;Nicolas
Paul;Nicolas
Jacques;Novi
Edmond;Novicki
Aimé;Nuic
Charles;N'Zogbia
Louis;Olagnier
Célestin;Oliver
Maurice;Olivier
Charles;Orlanducci
Jean-Claude;Osman
Nicolas;Ouédec
Marcel;Ourdouillié
Georges;Ouvray
Jean;Pacot
Stéphane;Paille
Claude;Papi
Jean-Pierre;Papin
Antoine;Parachini
Bernard;Pardo
Patrick;Parizon
Albert;Parsys
Gérald;Passi
Henri;Pavillard
Michel;Payen
Dimitri;Payet
Antoine;Pazur
Éric;Pécout
Benoît;Pedretti
Reynald;Pedros
Armand;Penverne
Christian;Perez
Robert;Péri
Eugène;Petel
Emmanuel;Petit
Jean;Petit
René;Petit
Georges;Peyroche
Roger;Piantoni
Francis;Piasecki
Jean;Picy
Marcel;Pinel
Robert;Pintenat
Frédéric;Piquionne
Robert;Pirès
Félix;Pironti
Jean-Claude;Piumi
Marc;Planus
Michel;Platini
Pierre;Pleimelding
René;Pleimelding
Paul;Pogba
Paul;Poirier
Albert;Polge
Stéphane;Porato
Cyrille;Pouget
André;Poullain
Fabrice;Poullain
Félix;Pozo
Jean;Prouff
Louis;Provelli
William;Prunier
André;Puget
Roger;Quenolle
Claude;Quittet
Bernard;Rahis
Ángel;Rambert
Ulrich;Ramé
Adil;Rami
Gilles;Rampillon
Pierre;Ranzoni
Daniel;Ravier
François;Remetter
Loïc;Rémy
André;Renaux
Charles;Renaux
Albert;Rénier
Pierre;Repellini
Anthony;Réveillère
Hervé;Revelli
Patrick;Revelli
André;Rey
Franck;Ribéry
Robert;Rico
Jean;Rigal
Patrice;Rio
Roger;Rio
Laurent;Robert
Claude;Robin
Laurent;Robuschi
Alain;Roche
Roche;Rochet
Dominique;Rocheteau
Daniel;Rodighiero
Joseph;Rodriguez
Sauveur;Rodriguez
Bruno;Rodzik
Henri;Roessler
Jean-Philippe;Rohr
Roger;Rolhion
André;Rollet
Félix;Romano
Paul;Romano
Georges;Rose
Jean-Paul;Rostagni
Alfred;Roth
Jérôme;Rothen
Antoine;Rouches
Gilles;Rousset
Laurent;Roussey
Olivier;Rouyer
Serge;Roy
Marius;Royet
Stéphane;Ruffier
César;Ruminski
Albert;Rust
André;Ryssen
Bacary;Sagna
Willy;Sagnol
Louis;Saha
Mamadou;Sakho
Omar;Sahnoun
Marcel;Salva
Henri;Salvano
Jean-Claude;Samuel
Christian;Sarramagna
Émile;Sartorius
Jean-Luc;Sassus
Paul;Sauvage
Franck;Sauzée
Steve;Savidan
Albert;Schaff
Émile;Scharwath
Roland;Schmitt
Louis;Schubart
Ernest;Schultz
Roger;Scotti
Jean;Sécember
Yvon;Segalen
Henri;Sellier
Didier;Sénac
Guy;Sénac
Raymond;Sentubéry
Victor;Sergent
Georges;Sesia
Pierre;Seyler
Robert;Siatka
Franck;Silvestre
Mikaël;Silvestre
Amara;Simba
Jacques;Simon
André;Simonyi
Florent;Sinama-Pongolle
Paul;Sinibaldi
Pierre;Sinibaldi
Moussa;Sissoko
Didier;Six
Pierre;Six
Henri;Skiba
Ladislas;Smid
Gérard;Soler
André;Sollier
Luc;Sonor
Julien;Sottiault
Léonard;Specht
Sébastien;Squillaci
Édouard;Stako
Michel;Stievenard
Julien;Stopyra
Yannick;Stopyra
André;Strappe
Marceau;Stricanne
Georges;Stuttler
Jean-Claude;Suaudeau
Jean;Swiatek
Christian;Synaeghel
Maryan;Synakowski
Robert;Szczepaniak
Théodore;Szkudlapski
Jean;Taillandier
Georges;Taisne
André;Tassin
Joseph;Tellechéa
Jean-Pierre;Tempet
Bolek;Tempowski
Tessie;Tessier
Maurice;Thédié
Alexis;Thépot
Jean-Christophe;Thouvenel
Lilian;Thuram
Philippe;Tibeuf
Jean;Tigana
Maurice;Tillette
Ernest;Tossier
Adolphe;Touffait
Jérémy;Toulalan
José;Touré
Auguste;Tousset
Marius;Trésor
David;Trezeguet
Yves;Triantafilos
Marcel;Triboulet
Benoît;Trémoulinas
Thierry;Tusseau
Richard;Tylinski
Joseph;Ujlaki
Ernest;Vaast
Pascal;Vahirua
Tony;Vairelles
Mathieu;Valbuena
Guy Van;Sam
Marcel;Vanco
Maurice;Vandendriessche
Jules;Vandooren
Roger;Vandooren
Albert;Vanucci
Raphaël;Varane
Henri;Vascout
François;Vasse
Émile;Veinante
Julien;Verbrugghe
Philippe;Vercruysse
Jacques;Vergnes
Joseph;Verlet
Georges;Verriest
Francis;Vial
Justin;Vialaret
Henri;Vialmonteil
Patrick;Vieira
René;Vignal
Marcel;Vignoli
Alexandre;Villaplane
Jean;Vincent
Rémi;Vogel
Paul;Voyeux
Roland;Wagner
Urbain;Wallet
Marius;Walter
Michel;Watteau
Raymond;Wattine
Édouard;Wawrzeniak
Edmond;Weiskopf
Jean;Wendling
Ursule;Wibaut
Jacques;Wild
Charles;Wilkes
Sylvain;Wiltord
Maryan;Wisnieski
Daniel;Xuereb
Mapou;Yanga-Mbiwa
Jean-Louis;Zanon
Mario;Zatelli
Jonathan;Zebina
Charles;Zehren
Paul;Zeiger
Bernard;Zénier
Émile;Zermani
Zinédine;Zidane
Jacques;Zimako
Simon;Zimny
Mustapha;Zitouni
Victor;Zvunka
;
;
;
;
Yvon Le;Roux
Michel;Leblond
Frank;Lebœuf
Georges;Lech
Jean;Lechantre
Patrice;Lecornu
Lucien;Leduc
Maxime;Lehmann
Robert;Lemaître
Roger;Lemerre
Jean-Claude;Lemoult
Bernard;Lenoble
André;Lerond
Émile;Lesmann
Henri;Lesur
Lucien;Letailleur
Lionel;Letizi
Edmond;Leveugle
Marceau;Lherminé
Ernest;Libérati
Guillaume;Lieb
Pierre;Lienert
Noël;Liétaer
André;Liminana
Bixente;Lizarazu
René;Llense
